WORD;;UNIT;CAT;DIF;TRANS1;TRANS2;TRANS3
za³¹cznik;;6;n;2;attachment;;
sala posiedzeñ;;6;n;3;boardroom;;
filia;;6;n;2;branch;oddzia³;
³apówka;;6;n;3;bribe;;
jaskrawo;;6;adv;2;brightly;jasno;
nak³ady kapita³owe;;6;n;3;capital expenditure;nak³ady inwestycyjne;
przep³yw gotówki;;6;n;2;cash flow;;
katalog;;6;n;2;catalogue;;
chemiczny;;6;adj;1;chemical;;
dzieciñstwo;;6;n;2;childhood;;
kombinacja;;6;n;1;combination;po³¹czenie;
konferencja;;6;n;1;conference;;
forma skrócona;;6;n;3;contraction;;
korespondencja;;6;n;1;correspondence;;
koszt;;6;n;1;cost;;
serek œmietankowy;;6;n;2;cream cheese;;
d³ug;;6;n;2;debt;;
przyzwoity;;6;adj;2;decent;;
dostawa;;6;n;2;delivery;;
dzia³;;6;n;2;department;wydzia³;
szczegó³;;6;n;2;detail;;
dylemat;;6;n;2;dilemma;;
bezpoœrednio;;6;adv;2;directly;;
szkic;;6;n;3;draft;brudnopis;
trwanie;;6;n;2;duration;;
elektroda;;6;n;1;electrode;;
emocja;;6;n;1;emotion;;
przedsiêbiorca;;6;n;3;entrepreneur;;
etyczny;;6;adj;1;ethical;;
codzienny;;6;adj;1;everyday;;
kosztowny;;6;adj;2;expensive;;
zamiatacz;;6;n;2;floor-sweeper;;
fortuna;;6;n;1;fortune;;
globalny;;6;adj;1;global;;
cel;;6;n;2;goal;;
wdziêczny;;6;adj;2;grateful;;
fryzjerstwo;;6;n;2;hairdressing;;
nag³ówek;;6;n;2;heading;;
uczciwy;;6;adj;2;honest;;
ikona;;6;n;1;icon;;
nielegalnie;;6;adv;2;illegally;;
tryb rozkazuj¹cy;;6;n;3;imperative;;
wra¿enie;;6;n;2;impression;;
natychmiastowy;;6;adj;2;instant;momentalny;
zamiast;;6;adv;2;instead;;
inwestycja;;6;n;1;investment;;
rzecz;;6;n;2;item;pozycja;
urz¹d pracy;;6;n;2;job centre;;
strata;;6;n;2;loss;;
lukratywny;;6;adj;2;lucrative;;
wspania³y;;6;adj;3;magnificent;;
protokó³;;6;n;3;minutes;;
pobliski;;6;adj;2;nearby;;
neuromarketing;;6;n;2;neuromarketing;;
nekrolog;;6;n;3;obituary;;
oferta;;6;n;2;offer;;
punkt sprzeda¿y;;6;n;3;outlet;;
zamorski;;6;adj;2;overseas;;
w³aœciciel;;6;n;2;owner;;
bierny;;6;adj;2;passive;;
p³atnoœæ;;6;n;2;payment;;
szczyt;;6;n;2;peak;;
perfumy;;6;n;2;perfume;;
fizyk;;6;n;2;physicist;;
pionier;;6;n;1;pioneer;;
truj¹cy;;6;adj;2;poisonous;;
przytu³ek;;6;n;3;poorhouse;;
teren (zak³adu);;6;n;3;premises;;
poprzedni;;6;adj;2;previous;;
procedura;;6;n;1;procedure;;
zysk;;6;n;2;profit;;
zaimek;;6;n;3;pronoun;;
kara;;6;n;2;punishment;;
zakup;;6;n;2;purchase;;
iloœæ;;6;n;2;quantity;;
niedawny;;6;adj;2;recent;;
rejestr;;6;n;3;register;;
krewny;;6;n;2;relative;;
detalista;;6;n;3;retailer;;
rola;;6;n;1;role;;
kiepski;;6;adj;3;rotten;zgni³y;
pensja;;6;n;2;salary;;
u¿ywany;;6;adj;2;second-hand;;
samozatrudniony;;6;adj;2;self-employed;;
seminarium;;6;n;2;seminar;;
kradzie¿ sklepowa;;6;n;3;shoplifting;;
podobny;;6;adj;2;similar;;
podobieñstwo;;6;n;2;similarity;;
natychmiast;;6;adv;3;straight away;;
nagle;;6;adv;2;suddenly;;
termin;;6;n;2;term;;
zatem;;6;adv;2;therefore;dlatego;
krawat;;6;n;2;tie;;
opuœciæ;;6;v;2;to abandon;;
targowaæ siê;;6;v;3;to bargain;;
odbyæ burzê mózgów;;6;v;2;to brainstorm;;
wychowaæ;;6;v;3;to bring sb up;;
szczotkowaæ;;6;v;2;to brush;;
œwiêtowaæ;;6;v;2;to celebrate;;
pobraæ (op³atê);;6;v;2;to charge;;
wspinaæ siê;;6;v;2;to climb;;
komentowaæ;;6;v;1;to comment;;
ograniczyæ;;6;v;3;to cut back on;;
zas³ugiwaæ;;6;v;2;to deserve;;
powiêkszyæ;;6;v;2;to expand;;
prognozowaæ;;6;v;2;to forecast;;
ufundowaæ;;6;v;2;to found;;
zbankrutowaæ;;6;v;3;to go bankrupt;;
œmiaæ siê;;6;v;1;to laugh;;
upewniæ siê;;6;v;2;to make sure;;
negocjowaæ;;6;v;1;to negotiate;;
dostarczyæ;;6;v;2;to provide;;
zmieniæ nazwê;;6;v;2;to rename;nazwaæ ponownie;
za³o¿yæ (firmê);;6;v;3;to set up;;
nagle wzrosn¹æ i opaœæ;;6;v;3;to spike;;
kraœæ;;6;v;2;to steal;;
nadzorowaæ;;6;v;2;to supervise;;
odbyæ siê;;6;v;2;to take place;;
ceniæ;;6;v;2;to value;;
toksyna;;6;n;1;toxin;;
nieetyczny;;6;and;2;unethical;;
tygodniówka;;6;n;2;wage;;
zamo¿ny;;6;adj;3;wealthy;;
hurtownik;;6;n;3;wholesaler;;
fauna i flora;;6;n;3;wildlife;;
m³odoœæ;;6;n;2;youth;m³odzie¿;
projekt;;7;n;2;design;;
abstrakcyjny;;7;adj;1;abstract;;
dobrze zaprojektowany;;7;adj;2;well-designed;;
urywek;;7;n;3;extract;fragment;
ograniczenie;;7;n;2;restriction;;
definicja;;7;n;1;definition;;
sprzedawcy;;7;n;2;salespeople;;
wartoœæ;;7;n;2;value;;
spe³niæ;;7;v;2;to fulfil;;
jednak¿e;;7;adv;3;however;;
innowacyjny;;7;adj;1;innovative;nowatorski;
product;;7;n;1;product;;
b³êdne mniemanie;;7;n;3;misconception;;
styl;;7;n;1;style;;
moda;;7;n;2;fashion;;
rzeczywistoœæ;;7;n;2;reality;;
artysta;;7;n;1;artist;;
wytworzyæ;;7;v;3;to manufacture;;
wzór;;7;n;2;pattern;deseñ;
innowacja;;7;n;1;innovation;;
futurystyczny;;7;adj;1;futuristic;;
elegancki;;7;adj;1;elegant;;
wykonany rêcznie;;7;adj;3;handmade;;
masowo produkowany;;7;adj;2;mass-produced;;
funkcjonalny;;7;adj;1;functional;;
staromodny;;7;adj;2;retro;w stylu retro;
op³ywowy;;7;adj;3;streamlined;aerodynamiczny;
stylowy;;7;adj;1;stylish;;
tradycyjny;;7;adj;1;traditional;;
nowoczesny;;7;adj;2;modern;;
pe³en wdziêku;;7;adj;3;graceful;;
dekada;;7;n;1;decade;;
wp³ywaæ;;7;v;2;to influence;;
krótkotrwa³y;;7;adj;3;short-lived;przelotny;
ergonomiczny;;7;adj;1;ergonomic;;
wydajnoœæ;;7;n;2;efficiency;;
g³adki;;7;adj;2;smooth;;
zaokr¹glony;;7;adj;2;curved;zakrzywiony;
kszta³t;;7;n;2;shape;;
aerodynamika;;7;n;1;aerodynamics;;
nowoczesnoœæ;;7;n;2;modernity;;
urz¹dzenie;;7;n;3;appliance;;
reputacja;;7;n;1;reputation;;
optymizm;;7;n;1;optimism;;
industrializacja;;7;n;1;industrialisation;;
sk³adane krzes³o;;7;n;3;folding chair;;
p³ótno;;7;n;3;canvas;;
popyt;;7;n;3;demand;;
ró¿norodnoœæ;;7;n;2;variety;;
spo³eczeñstwo konsumpcyjne;;7;n;3;throwaway society;;
radykalny;;7;adj;1;radical;;
folia;;7;n;3;foil;;
konkurencyjny;;7;adj;3;competitive;;
zalecany;;7;adj;2;advisable;;
solarny;;7;adj;1;solar;;
wytrzyma³oœæ;;7;n;2;durability;;
ilustrowaæ;;7;v;1;to illustrate;;
nakrêcaæ;;7;v;3;to wind up;;
szkicowaæ;;7;v;2;to sketch;;
gospodarstwo domowe;;7;n;3;household;;
wp³yw;;7;n;3;impact;oddzia³ywanie;
rewolucyjny;;7;adj;2;revolutionary;;
bohater;;7;n;2;hero;;
konsultant;;7;n;1;consultant;;
lodówka;;7;n;2;refrigerator;;
wnêtrze;;7;n;2;interior;;
pojazd kosmiczny;;7;n;2;spacecraft;;
zasada;;7;n;2;principle;;
trwaæ;;7;v;2;to last;;
uproszczenie;;7;n;3;simplification;;
paczka;;7;n;2;packet;;
wyzwanie;;7;n;2;challenge;;
zachowanie w pamiêci;;7;n;3;retention;;
widoczny;;7;adj;2;visible;;
przeciêtny;;7;adj;2;average;;
wyciskacz do cytryn;;7;n;2;lemon squeezer;;
definitywnie;;7;adv;2;definitely;;
wystawa;;7;n;2;exhibition;;
prekursor;;7;n;3;trendsetter;dyktator mody;
formularz zg³oszeniowy;;7;n;3;entry form;;
nagroda;;7;n;2;award;;
sêdzia;;7;n;2;judge;;
trwa³y;;7;adj;2;durable;;
prototyp;;7;n;1;prototype;;
wybitny;;7;adj;3;outstanding;wyró¿niaj¹cy siê;
rozwa¿yæ;;7;v;2;to consider;;
nieprzekraczalny termin;;7;n;2;deadline;;
reflektor kierunkowy;;7;n;3;spotlight;;
nadmuchiwana poduszka;;7;n;3;blow-up pillow;;
grzejnik;;7;n;2;heater;;
lity;;7;adj;2;solid;trwa³y;
rada;;7;n;2;advice;;
melodia;;7;n;2;tune;;
apostrof;;7;n;3;apostrophe;;
wa¿yæ;;7;v;2;to weigh;;
sygna³;;7;n;1;signal;;
wyœwietlacz;;7;n;3;display;;
w konsekwencji;;7;adv;3;consequently;;
co wiêcej;;7;adv;3;moreover;;
zasiêg sygna³u;;7;n;3;call reception;;
gruntownie;;7;adv;3;thoroughly;;
niezawodnoœæ;;7;n;2;reliability;;
migawka;;7;n;3;shutter;;
wizjer;;7;n;3;viewfinder;;
poni¿ej;;7;adv;2;below;;
soczewka;;7;n;3;lens;;
